Unnamed: 0,floor,price,operation,size,exterior,rooms,bathrooms,latitude,longitude,newDevelopment,hasLift,topNewDevelopment,isParkingSpaceIncludedInPrice,numero_bancos_cercanos,numero_starbucks_cercanos,numero_atractivos_cercanos,numero_buenasmigas_cercanos,numero_clubesnocturnos_cercanos,numero_mcdonalds_cercanos,numero_metro_cercanos,numero_parking_cercanos,numero_parkingbici_cercanos,numero_parques_cercanos,numero_playas_cercanos,numero_santagloria_cercanos,numero_vivari_cercanos,num_airbnbs_500,media_precios_airbnbs_500,log_price,price_m2,log_price_m2,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,status_good,status_newdevelopment,num_airbnbs_500_mas_de_cero,media_precios_airbnbs_500_mas_de_cero,numero_bancos_cercanos_mas_de_cero,numero_starbucks_cercanos_mas_de_cero,numero_atractivos_cercanos_mas_de_cero,numero_buenasmigas_cercanos_mas_de_cero,numero_clubesnocturnos_cercanos_mas_de_cero,numero_mcdonalds_cercanos_mas_de_cero,numero_metro_cercanos_mas_de_cero,numero_parking_cercanos_mas_de_cero,numero_parkingbici_cercanos_mas_de_cero,numero_parques_cercanos_mas_de_cero,numero_playas_cercanos_mas_de_cero,numero_santagloria_cercanos_mas_de_cero,numero_vivari_cercanos_mas_de_cero,district_Ciutat Vella,district_Eixample,district_Gracia,district_Horta-Guinardo,district_Les Corts,district_Nou Barris,district_Sant Andreu,district_Sant Marti,district_Sants-Montjuic,district_Sarria-Sant Gervasi
46,0.0,2950.0,rent,115.0,1,2,2,414016242,21610693,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,798956044933387,256521739130435.0,324462832097062.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,1.0,2025.0,rent,65.0,1,1,1,413853632,21846702,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,761332497954064,311538461538462.0,3438937709645.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,3.0,1850.0,rent,107.0,1,4,1,41384678,21280694,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,752294091807237,172897196261682.0,285011208361046.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
49,1.0,1850.0,rent,72.0,1,3,1,413851941,2178106,0,1,0,0,15,1,0,1,0,0,0,0,0,0,0,0,0,1,50314.0,752294091807237,256944444444444.0,324627479905631.0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,1.0,6900.0,rent,195.0,1,4,3,413949623,21596777,0,1,0,1,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,883927669058535,353846153846154.0,35662771320216.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,3.0,3470.0,rent,70.0,1,2,1,413861272,21540824,0,1,0,1,6,0,0,1,0,1,0,1,2,0,0,0,0,0,0.0,815190987294091,495714285714286.0,390341463089155.0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,7.0,7900.0,rent,266.0,1,5,4,413848057,21090424,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,897461803845511,296992481203008.0,339112172967341.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,1.0,6900.0,rent,204.0,1,4,3,413941733,21575765,0,1,0,1,15,1,0,0,1,0,0,0,1,0,0,0,0,0,0.0,883927669058535,338235294117647.0,352115669674113.0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,0.5,2555.0,rent,92.0,1,3,2,413780561,21593196,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78458075026378,277717391304348.0,332401892558876.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,3.0,2045.0,rent,54.0,1,2,2,413866199,2173459,0,1,0,1,19,1,0,2,1,0,0,0,0,0,0,0,1,1,50314.0,76231530684769,378703703703704.0,363416902191263.0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
56,1.0,6900.0,rent,195.0,1,4,3,413932977,21606079,0,1,0,1,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,883927669058535,353846153846154.0,35662771320216.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,9.0,1990.0,rent,107.0,1,4,2,414004456,21464234,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,759588991771854,185981308411215.0,292306108325663.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,5.0,1600.0,rent,60.0,1,1,1,413745426,21676222,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,737775890822787,266666666666667.0,328341434600577.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,1.0,3900.0,rent,234.0,1,6,3,413938187,21605155,0,1,0,1,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,826873183211774,166666666666667.0,281341071676004.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,0.0,2500.0,rent,120.0,1,3,2,413792847,2151303,0,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,782404601085629,208333333333333.0,303655426807425.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61,1.0,4000.0,rent,150.0,1,3,2,413826596,21847096,0,1,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,829404964010203,266666666666667.0,328341434600577.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,0.0,2020.0,rent,73.0,1,1,2,413893595,21797073,0,1,0,0,7,1,0,1,1,0,0,0,0,0,0,0,0,1,50314.0,761085279039525,276712328767123.0,332039334924686.0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,2.0,1600.0,rent,60.0,1,1,1,413905789,21653124,0,1,0,1,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,737775890822787,266666666666667.0,328341434600577.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64,0.0,2490.0,rent,97.0,1,2,2,413845495,21815146,0,1,0,1,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,782003798945875,256701030927835.0,324532701095537.0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,3.0,2900.0,rent,64.0,1,2,1,41394662,21265994,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,797246601597457,453125.0,381358293261489.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
