,floor,price,size,rooms,bathrooms,latitude,longitude,showAddress,hasLift,num_bancos_500,num_starbucks_500,num_atractivos_500,num_buenasmigas_500,num_clubesnocturnos_500,num_mcdonalds_500,num_metro_500,num_parking_500,num_parkingbici_500,num_parques_500,num_santagloria_500,num_vivari_500,num_airbnbs_500,status_newdevelopment,status_renew,newDevelopment_True,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio
4027,0.07142857142857142,1535.0,0.03473053892215569,0.05,0.1,41.4250035,2.2064334,1,1,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.011627906976744186,0.011627906976744186,0.08695652173913043,0.0,0.0,0.018105009052504527,0,0,0,0,1,0,0
4028,0.0,2790.0,0.1125748502994012,0.1,0.3,41.3917706,2.1271194,0,1,0.4666666666666667,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.11904761904761904,0.05813953488372093,0.05813953488372093,0.7391304347826086,0.0,0.0,0.03741701870850935,0,0,0,0,1,0,0
4029,0.0,2670.0,0.038922155688622756,0.05,0.2,41.3818199,2.1542526,0,1,0.3333333333333333,0.0,0.0,0.0,0.5555555555555556,0.0,0.047619047619047616,0.06976744186046512,0.06976744186046512,0.30434782608695654,0.0,0.2,0.508147254073627,0,0,0,0,1,0,0
4031,0.07142857142857142,1595.0,0.033532934131736525,0.05,0.2,41.3772539,2.1743866,1,0,0.2,0.0,0.2647058823529412,0.0,0.6666666666666666,0.3333333333333333,0.11904761904761904,0.11627906976744186,0.11627906976744186,0.13043478260869565,0.0,0.0,0.6089318044659022,0,0,0,0,1,0,0
4032,0.14285714285714285,1550.0,0.025149700598802394,0.05,0.1,41.3816133,2.1924226,0,1,0.13333333333333333,0.0,0.23529411764705882,0.0,0.1111111111111111,0.0,0.0,0.05813953488372093,0.05813953488372093,0.08695652173913043,0.0,0.0,0.19312009656004828,0,0,0,0,1,0,0
4034,0.07142857142857142,1430.0,0.019161676646706587,0.025,0.1,41.3740649,2.16879,0,0,0.2,0.0,0.058823529411764705,0.0,0.4444444444444444,0.3333333333333333,0.07142857142857142,0.09302325581395349,0.09302325581395349,0.391304347826087,0.0,0.2,0.4858177429088715,0,0,0,0,1,0,0
4035,0.0,3000.0,0.055089820359281436,0.075,0.3,41.3966484,2.1620615,0,0,0.6,0.3333333333333333,0.20588235294117646,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.047619047619047616,0.20930232558139536,0.20930232558139536,0.13043478260869565,0.0,0.4,0.4743512371756186,0,0,0,0,1,0,0
4036,0.0,2770.0,0.04431137724550898,0.025,0.1,41.4106417,2.1366423,0,1,0.2,0.0,0.058823529411764705,0.3333333333333333,0.0,0.0,0.09523809523809523,0.09302325581395349,0.09302325581395349,0.34782608695652173,0.0,0.2,0.032589016294508145,0,0,0,0,0,1,0
4037,0.0,4750.0,0.23832335329341317,0.15,0.4,41.4040811,2.1314343,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.13953488372093023,0.13953488372093023,0.2608695652173913,0.5,0.0,0.03198551599275799,0,0,0,0,1,0,0
4038,0.07142857142857142,1350.0,0.03772455089820359,0.05,0.1,41.375099,2.1349971,0,0,0.4,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.03488372093023256,0.03488372093023256,0.391304347826087,0.0,0.0,0.17018708509354255,0,0,0,0,1,0,0
4039,0.0,2750.0,0.04730538922155689,0.025,0.1,41.4098143,2.1360318,0,1,0.23333333333333334,0.0,0.058823529411764705,0.3333333333333333,0.0,0.0,0.09523809523809523,0.1511627906976744,0.1511627906976744,0.43478260869565216,0.0,0.2,0.036210018105009054,0,0,0,0,0,1,0
4040,0.21428571428571427,1500.0,0.038922155688622756,0.025,0.1,41.3815392,2.1775103,0,0,0.5,0.3333333333333333,0.9411764705882353,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.047619047619047616,0.06976744186046512,0.06976744186046512,0.17391304347826086,0.0,0.0,0.9396499698249849,0,0,0,0,1,0,0
4041,0.0,860.0,0.013173652694610778,0.0,0.1,41.3740238,2.1653053,0,0,0.3,0.0,0.029411764705882353,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.09523809523809523,0.05813953488372093,0.05813953488372093,0.2608695652173913,0.0,0.2,0.5467712733856367,0,0,0,0,0,0,1
4042,0.0,3950.0,0.1497005988023952,0.125,0.3,41.4048183,2.1396247,0,0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.09302325581395349,0.09302325581395349,0.13043478260869565,0.5,0.0,0.12190706095353047,0,0,0,0,1,0,0
4043,0.0,3000.0,0.05089820359281437,0.1,0.2,41.374311,2.1311957,1,0,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.06976744186046512,0.06976744186046512,0.2608695652173913,0.0,0.0,0.17501508750754374,0,0,0,0,1,0,0
4045,0.0,1500.0,0.02694610778443114,0.05,0.1,41.3792767,2.1921939,0,0,0.13333333333333333,0.0,0.029411764705882353,0.3333333333333333,0.1111111111111111,0.0,0.0,0.046511627906976744,0.046511627906976744,0.08695652173913043,0.0,0.0,0.23355461677730838,0,0,0,0,1,0,0
4046,0.14285714285714285,1595.0,0.043712574850299404,0.025,0.1,41.3996052,2.1595484,1,0,0.5,0.16666666666666666,0.11764705882352941,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.023809523809523808,0.27906976744186046,0.27906976744186046,0.08695652173913043,0.0,0.2,0.5117682558841279,0,0,0,0,1,0,0
4047,0.35714285714285715,1750.0,0.05389221556886228,0.075,0.2,41.3814084,2.1314492,0,1,0.5333333333333333,0.0,0.0,0.0,0.1111111111111111,0.0,0.047619047619047616,0.03488372093023256,0.03488372093023256,0.4782608695652174,0.0,0.4,0.1044055522027761,0,0,0,0,1,0,0
4048,0.0,2600.0,0.04491017964071856,0.05,0.2,41.3998197,2.2071445,0,1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.05813953488372093,0.05813953488372093,0.6086956521739131,0.0,0.0,0.15208207604103802,0,0,0,0,1,0,0
4049,0.0,3000.0,0.06287425149700598,0.075,0.3,41.383983,2.1663248,0,1,0.23333333333333334,0.6666666666666666,0.29411764705882354,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.08139534883720931,0.08139534883720931,0.391304347826087,0.0,0.2,0.7115268557634279,0,0,0,0,0,1,0
4050,0.0,2700.0,0.04431137724550898,0.05,0.2,41.3918469,2.150178,0,1,0.7,0.0,0.058823529411764705,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.023809523809523808,0.37209302325581395,0.37209302325581395,0.21739130434782608,0.0,0.4,0.2619191309595655,0,0,0,0,1,0,0
4051,0.0,2800.0,0.04790419161676647,0.05,0.2,41.3871423,2.1640363,0,1,0.43333333333333335,0.6666666666666666,0.29411764705882354,0.3333333333333333,0.5555555555555556,0.0,0.7619047619047619,0.12790697674418605,0.12790697674418605,0.21739130434782608,0.0,0.2,0.6228123114061557,0,0,0,0,1,0,0
4052,0.0,2845.0,0.04730538922155689,0.075,0.1,41.3785759,2.1527888,0,1,0.1,0.0,0.058823529411764705,0.3333333333333333,0.2222222222222222,0.0,0.047619047619047616,0.11627906976744186,0.11627906976744186,0.08695652173913043,0.0,0.2,0.4085697042848521,0,0,0,0,1,0,0
4053,0.0,2600.0,0.05389221556886228,0.075,0.2,41.389527,2.1538622,0,1,0.23333333333333334,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.023809523809523808,0.20930232558139536,0.20930232558139536,0.2608695652173913,0.0,0.4,0.39529269764634883,0,0,0,0,1,0,0
4055,0.0,1200.0,0.017964071856287425,0.0,0.1,41.3889872,2.1807957,1,0,0.16666666666666666,0.0,0.47058823529411764,0.0,0.0,0.0,0.023809523809523808,0.08139534883720931,0.08139534883720931,0.13043478260869565,0.0,0.4,0.5141822570911285,0,0,0,0,0,0,1
4057,0.0,4000.0,0.08982035928143713,0.075,0.2,41.4171661,2.1368812,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.09302325581395349,0.09302325581395349,0.391304347826087,0.0,0.0,0.00724200362100181,0,0,0,0,1,0,0
4058,0.2857142857142857,1650.0,0.029940119760479042,0.025,0.1,41.3825301,2.1784902,0,1,0.5666666666666667,0.3333333333333333,0.8823529411764706,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.047619047619047616,0.046511627906976744,0.046511627906976744,0.21739130434782608,0.0,0.2,0.9299939649969825,0,0,0,0,1,0,0
