"id";"price";"accommodation_type";"latitude";"longitude";"precio_euro"
739557;182;"Entire place";41.40135;2.17217;166.4936
740113;NA;"Entire place";41.37785;2.16238;NA
519631;254;"Entire place";41.39506;2.17308;232.3592
520389;200;"Entire place";41.3888;2.15898;182.96
857958;97;"Private room";41.38444;2.17191;88.7356
742156;158;"Entire place";41.40888;2.14634;144.5384
742241;173;"Entire place";41.41035;2.14795;158.2604
522705;185;"Entire place";41.39646;2.17132;169.238
743612;261;"Entire place";41.41622;2.18918;238.7628
859105;50;"Entire place";41.38171;2.18687;45.74
865191;139;"Entire place";41.39801;2.17056;127.1572
866298;123;"Entire place";41.38088;2.13948;112.5204
866483;146;"Private room";41.39986;2.16377;133.5608
744153;55;"Entire place";41.39829;2.17542;50.314
745220;159;"Entire place";41.40985;2.14782;145.4532
745275;NA;"Entire place";41.41073;2.14704;NA
528979;40;"Private room";41.39807;2.15483;36.592
531195;398;"Entire place";41.37535;2.16727;364.0904
746086;142;"Entire place";41.37384;2.1304;129.9016
748693;20;"Private room";41.38076;2.16648;18.296
868198;221;"Entire place";41.39801;2.17056;202.1708
871899;152;"Entire place";41.40562;2.16212;139.0496
875171;169;"Entire place";41.38753;2.14204;154.6012
750066;130;"Entire place";41.3777;2.16198;118.924
531697;75;"Entire place";41.38051;2.18199;68.61
876101;300;"Entire place";41.38924;2.20005;274.44
534410;250;"Entire place";41.39877;2.17755;228.7
877884;229;"Entire place";41.38694;2.14976;209.4892
753322;253;"Entire place";41.39942;2.15618;231.4444
756588;56;"Private room";41.38164;2.16749;51.2288
534550;329;"Entire place";41.37535;2.16727;300.9692
757149;147;"Entire place";41.38873;2.15653;134.4756
759351;NA;"Entire place";41.3742;2.1456;NA
879969;182;"Entire place";41.3898;2.17366;166.4936
536440;NA;"Private room";41.40987;2.17203;NA
883382;134;"Entire place";41.419008507718;2.15731325526915;122.5832
759769;225;"Entire place";41.40251;2.17014;205.83
764452;144;"Entire place";41.39857;2.19359;131.7312
767596;217;"Entire place";41.4091;2.16573;198.5116
884420;115;"Entire place";41.37842;2.12354;105.202
886088;197;"Entire place";41.39798;2.16628;180.2156
887953;407;"Entire place";41.40737;2.17398;372.3236
537176;116;"Entire place";41.38075;2.15804;106.1168
888988;300;"Entire place";41.39451;2.14578;274.44
770175;164;"Entire place";41.40872;2.1751;150.0272
771440;NA;"Private room";41.40558;2.18188;NA
772098;57;"Entire place";41.37475;2.1726;52.1436
957657;174;"Entire place";41.37366;2.16613;159.1752
773886;171;"Entire place";41.40657;2.16029;156.4308
775644;110;"Entire place";41.38103;2.15219;100.628
889491;60;"Private room";41.40009;2.20063;54.888
958946;170;"Entire place";41.37905;2.16101;155.516
889575;136;"Entire place";41.42353;2.17773;124.4128
892906;145;"Entire place";41.39409;2.17159;132.646
892922;222;"Entire place";41.38887;2.16899;203.0856
892927;236;"Entire place";41.38617;2.16704;215.8928
775794;139;"Entire place";41.3987998962402;2.20474791526794;127.1572
776038;217;"Entire place";41.40323;2.16005;198.5116
959089;390;"Entire place";41.40543;2.14891;356.772
892943;344;"Entire place";41.38621;2.16692;314.6912
892949;330;"Entire place";41.39199;2.17862;301.884
893052;117;"Entire place";41.39872;2.15848;107.0316
893399;170;"Entire place";41.40917;2.20251;155.516
895091;193;"Entire place";41.38882;2.15557;176.5564
777476;264;"Entire place";41.38565;2.16089;241.5072
777587;149;"Entire place";41.37545;2.15654;136.3052
961548;152;"Entire place";41.4042;2.15281;139.0496
896367;185;"Entire place";41.39892;2.17683;169.238
900045;81;"Private room";41.39264;2.18946;74.0988
790404;114;"Entire place";41.40319;2.15855;104.2872
963289;184;"Entire place";41.38085;2.14868;168.3232
790475;81;"Entire place";41.39925;2.15842;74.0988
791717;100;"Entire place";41.40065;2.20407;91.48
901211;160;"Entire place";41.39008;2.15922;146.368
963533;446;"Entire place";41.38532;2.16172;408.0008
902403;257;"Entire place";41.39014;2.17178;235.1036
799240;69;"Entire place";41.37597;2.16613;63.1212
965681;171;"Entire place";41.38531;2.16175;156.4308
965712;182;"Entire place";41.38334;2.16029;166.4936
903135;183;"Entire place";41.39084;2.14219;167.4084
965733;437;"Entire place";41.38447;2.16068;399.7676
966895;31;"Private room";41.38642;2.17565;28.3588
904862;274;"Entire place";41.38044;2.17302;250.6552
800045;104;"Entire place";41.38502;2.13058;95.1392
906559;111;"Entire place";41.39233;2.18002;101.5428
967346;493;"Entire place";41.38427;2.16275;450.9964
907219;146;"Entire place";41.40856;2.1593;133.5608
801237;251;"Entire place";41.41013;2.17583;229.6148
973013;90;"Entire place";41.41012;2.1759;82.332
804268;196;"Entire place";41.39529;2.19387;179.3008
976595;230;"Entire place";41.39176;2.16271;210.404
811918;90;"Entire place";41.3779;2.11991;82.332
813031;NA;"Entire place";41.37453;2.16587;NA
910349;43;"Private room";41.372263;2.160895;39.3364
977631;115;"Entire place";41.3904;2.15258;105.202
912414;175;"Entire place";41.37585;2.14478;160.09
814172;168;"Entire place";41.402599;2.20701;153.6864
814177;177;"Entire place";41.4026;2.20701;161.9196
977745;89;"Entire place";41.38314;2.13606;81.4172
814202;168;"Entire place";41.402599;2.20701;153.6864
915823;314;"Entire place";41.39089;2.16565;287.2472
978990;79;"Private room";41.38387;2.1717;72.2692
979073;106;"Entire place";41.40425;2.16417;96.9688
916232;239;"Entire place";41.38989;2.16195;218.6372
814226;168;"Entire place";41.402599;2.20701;153.6864
982492;313;"Entire place";41.39223;2.15559;286.3324
820497;126;"Entire place";41.38985;2.1447;115.2648
917308;932;"Entire place";41.39125;2.16391;852.5936
917540;35;"Private room";41.37579;2.13764;32.018
821100;166;"Entire place";41.37731;2.16288;151.8568
982915;131;"Entire place";41.4045;2.16631;119.8388
821523;131;"Entire place";41.40448;2.17588;119.8388
823272;223;"Entire place";41.39341;2.16046;204.0004
918481;190;"Entire place";41.38929;2.17052;173.812
919483;167;"Entire place";41.37308;2.16756;152.7716
984985;129;"Entire place";41.40045;2.15465;118.0092
986015;161;"Entire place";41.40002;2.1589;147.2828
986101;133;"Entire place";41.37268;2.17236;121.6684
922906;195;"Entire place";41.37308;2.16756;178.386
922907;127;"Entire place";41.37308;2.16756;116.1796
824902;158;"Entire place";41.41057;2.17596;144.5384
986639;220;"Entire place";41.37952;2.18011;201.256
827250;192;"Entire place";41.40383;2.17024;175.6416
832755;500;"Entire place";41.40385;2.19869;457.4
839655;154;"Entire place";41.37729;2.1629;140.8792
925557;150;"Entire place";41.40246;2.16584;137.22
928725;56;"Entire place";41.3843193054199;2.18098306655884;51.2288
929663;171;"Entire place";41.37308;2.16756;156.4308
840123;85;"Entire place";41.37741;2.11936;77.758
986692;176;"Entire place";41.40581;2.16644;161.0048
842126;198;"Entire place";41.40559;2.16213;181.1304
931437;351;"Entire place";41.37939;2.16057;321.0948
986867;264;"Entire place";41.3941;2.14707;241.5072
931756;120;"Entire place";41.37913;2.16131;109.776
842389;155;"Entire place";41.38098;2.13108;141.794
988755;215;"Entire place";41.3941;2.14707;196.682
933094;61;"Private room";41.38412;2.12645;55.8028
988917;159;"Entire place";41.38078;2.1458;145.4532
934979;160;"Entire place";41.40074;2.1752;146.368
936734;139;"Entire place";41.3736;2.15746;127.1572
846423;NA;"Entire place";41.40532;2.16173;NA
847195;153;"Entire place";41.38508;2.15527;139.9644
847735;455;"Entire place";41.38954;2.17131;416.234
936781;95;"Entire place";41.41036;2.15513;86.906
996713;NA;"Private room";41.38061;2.15821;NA
936850;134;"Entire place";41.410198;2.17479;122.5832
1111418;168;"Entire place";41.39203;2.15134;153.6864
1000720;50;"Private room";41.41851;2.1737;45.74
1112838;171;"Entire place";41.37314;2.15698;156.4308
1114170;25;"Private room";41.40298;2.15096;22.87
936900;NA;"Entire place";41.3706;2.14315;NA
937331;176;"Entire place";41.39459;2.15549;161.0048
1002233;178;"Entire place";41.37209;2.1706;162.8344
937657;127;"Entire place";41.38668;2.13099;116.1796
938006;127;"Entire place";41.38441;2.13102;116.1796
939692;215;"Entire place";41.39945;2.19996;196.682
939792;215;"Entire place";41.40158;2.15064;196.682
1119598;212;"Entire place";41.40457;2.17215;193.9376
1124129;NA;"Entire place";41.40598;2.16405;NA
1125212;325;"Entire place";41.38792;2.15224;297.31
1002372;179;"Entire place";41.39732;2.20693;163.7492
1129827;397;"Entire place";41.39104;2.17628;363.1756
940338;273;"Entire place";41.38984;2.17077;249.7404
940374;109;"Entire place";41.41087;2.19021;99.7132
942410;146;"Entire place";41.40717;2.19556;133.5608
945007;132;"Entire place";41.40463;2.17154;120.7536
1136384;169;"Entire place";41.38954;2.15831;154.6012
1007939;146;"Entire place";41.40472;2.159;133.5608
1139069;138;"Entire place";41.38444;2.1322;126.2424
945564;231;"Entire place";41.38771;2.16493;211.3188
1008717;571;"Entire place";41.39204;2.16731;522.3508
946122;142;"Entire place";41.39418;2.19319;129.9016
947269;282;"Entire place";41.38127;2.15475;257.9736
1139791;35;"Private room";41.40965;2.15093;32.018
1011083;94;"Entire place";41.372414;2.166215;85.9912
1139849;253;"Entire place";41.39216;2.19297;231.4444
948689;90;"Entire place";41.3802910138424;2.17936659902793;82.332
951364;84;"Entire place";41.39288;2.15321;76.8432
1140144;72;"Entire place";41.40702;2.18433;65.8656
1018647;99;"Entire place";41.37588;2.12195;90.5652
1145940;230;"Entire place";41.40667;2.16647;210.404
953280;94;"Entire place";41.40096;2.16799;85.9912
954380;NA;"Private room";41.38176;2.16496;NA
1020452;85;"Entire place";41.37104;2.14462;77.758
1147333;240;"Entire place";41.395248;2.171321;219.552
956256;187;"Entire place";41.37525;2.15091;171.0676
1025707;158;"Entire place";41.40153;2.17785;144.5384
1149191;124;"Entire place";41.41005;2.13958;113.4352
1150062;111;"Entire place";41.41;2.13921;101.5428
1150128;99;"Entire place";41.4121;2.14045;90.5652
956768;232;"Entire place";41.40048;2.17349;212.2336
