floor,price,size,rooms,bathrooms,latitude,longitude,hasLift,isParkingSpaceIncludedInPrice,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_newdevelopment,status_renew,newDevelopment_True,topNewDevelopment_True,exterior_True
0.08,0.04857142857142857,0.03146067415730337,0.075,0.0625,414102961,2108634,0,0,0,0,1,0,0,0,0,0,0,1
0.24,0.04285714285714286,0.0299625468164794,0.025,0.0625,413842055,21718791,1,0,0,0,1,0,0,0,0,0,0,1
0.24,0.06571428571428571,0.03745318352059925,0.05,0.125,413984366,2157548,1,0,0,0,1,0,0,0,0,0,0,1
0.96,0.21428571428571427,0.07116104868913857,0.075,0.125,414045014,22141964,1,1,0,0,1,0,0,0,0,0,0,1
0.2,0.21428571428571427,0.10861423220973783,0.125,0.25,413966762,21365123,1,1,0,0,0,1,0,0,0,0,0,1
0.04,0.05285714285714286,0.040074906367041196,0.1,0.0625,413823035,21285681,1,0,0,0,1,0,0,0,0,0,0,1
0.24,0.21428571428571427,0.10861423220973783,0.1,0.25,413976219,21349404,1,1,0,1,0,0,0,0,0,0,0,1
0.36,0.05142857142857143,0.031835205992509365,0.05,0.125,413973871,21332724,1,0,0,0,0,1,0,0,0,0,0,1
0.0,0.054285714285714284,0.030337078651685393,0.05,0.0625,413911848,21778918,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.2571428571428571,0.09887640449438202,0.125,0.25,413913422,21623089,1,0,0,0,1,0,0,0,0,0,0,1
0.2,0.21428571428571427,0.10861423220973783,0.15,0.375,413949203,21377683,1,1,0,0,0,1,0,0,0,0,0,1
0.2,0.21428571428571427,0.10861423220973783,0.1,0.25,413944724,21370445,1,0,0,0,0,1,0,0,0,0,0,1
0.12,0.2571428571428571,0.08764044943820225,0.125,0.25,413918944,2168031,1,0,0,0,1,0,0,0,0,0,0,1
0.04,0.10857142857142857,0.04681647940074907,0.075,0.125,413782763,2176177,1,0,0,0,1,0,0,0,0,0,0,0
0.2,0.21428571428571427,0.10861423220973783,0.1,0.3125,413979444,21378803,1,0,0,0,1,0,0,0,0,0,0,1
0.04,0.1,0.04868913857677903,0.075,0.125,413846882,21792364,1,0,0,0,1,0,0,0,0,0,0,1
0.08,0.09914285714285714,0.03745318352059925,0.025,0.0625,413894626,21599962,1,0,0,0,1,0,0,0,0,0,0,0
0.08,0.07857142857142857,0.04269662921348315,0.05,0.125,414039397,21265364,1,0,0,0,1,0,0,0,0,0,0,1
0.2,0.10857142857142857,0.0348314606741573,0.025,0.125,413903957,2166736,1,0,0,0,1,0,0,0,0,0,0,1
-0.04,0.05142857142857143,0.04119850187265917,0.0,0.0625,414010795,21576072,0,0,0,0,0,0,1,0,0,0,0,0
